"package","version"
"lubridate","1.9.3"
"forcats","1.0.0"
"stringr","1.5.1"
"dplyr","1.1.4"
"purrr","1.0.2"
"readr","2.1.5"
"tidyr","1.3.1"
"tibble","3.2.1"
"tidyverse","2.0.0"
"modelsummary","1.4.5"
"broom.mixed","0.2.9.4"
"broom","1.0.5"
"rsample","1.2.0"
"tidytext","0.4.1"
"ggtext","0.1.2"
"ggstatsplot","0.12.2"
"ggrepel","0.9.5"
"ggstance","0.3.6"
"ggpubr","0.6.0"
"ggh4x","0.2.8"
"ggforce","0.4.2"
"ggeasy","0.1.4"
"colorspace","2.1-0"
"ggplot2","3.5.0"
"lemon","0.4.9"
"gt","0.10.1"
"officer","0.6.5"
"janitor","2.2.0"
"xtable","1.8-4"
"rstatix","0.7.2"
"Rtsne","0.17"
"umap","0.2.10.0"
"segmented","2.0-3"
"nlme","3.1-163"
"MASS","7.3-60"
"lme4","1.1-35.1"
"Matrix","1.6-1.1"
"aqm","1.0"
"scales","1.3.0"
"glue","1.7.0"
"magrittr","2.0.3"
"arrow","14.0.0.2"
"this.path","2.4.0"
"pacman","0.5.1"
