model_layer,model_layer_index,effective_dimensions,dataset
ReLU-1,0,5.289909453705623,NSD-Shared1000
ReLU-2,1,4.912731931954576,NSD-Shared1000
ReLU-3,2,6.993695577175079,NSD-Shared1000
ReLU-4,3,7.488403211756499,NSD-Shared1000
ReLU-5,4,8.309688749886305,NSD-Shared1000
ReLU-6,5,16.985618309981433,NSD-Shared1000
ReLU-7,6,17.436774634686028,NSD-Shared1000
ReLU-8,7,22.32659043314674,NSD-Shared1000
ReLU-9,8,20.90605700713039,NSD-Shared1000
ReLU-10,9,35.86307043577769,NSD-Shared1000
ReLU-11,10,26.563964742630343,NSD-Shared1000
ReLU-12,11,18.357357159827867,NSD-Shared1000
ReLU-13,12,24.15371646521607,NSD-Shared1000
ReLU-14,13,37.74408761228411,NSD-Shared1000
ReLU-15,14,59.684544035205185,NSD-Shared1000
ReLU-16,15,87.07146509169681,NSD-Shared1000
ReLU-1,0,4.343758429869247,ImageNet1K-Val10000
ReLU-2,1,4.515531864477042,ImageNet1K-Val10000
ReLU-3,2,5.795927552624591,ImageNet1K-Val10000
ReLU-4,3,6.284814338233202,ImageNet1K-Val10000
ReLU-5,4,6.996354544057499,ImageNet1K-Val10000
ReLU-6,5,15.017508329561503,ImageNet1K-Val10000
ReLU-7,6,16.751429715166356,ImageNet1K-Val10000
ReLU-8,7,22.791630518203505,ImageNet1K-Val10000
ReLU-9,8,20.821358350501864,ImageNet1K-Val10000
ReLU-10,9,40.52720872388999,ImageNet1K-Val10000
ReLU-11,10,28.640629398869105,ImageNet1K-Val10000
ReLU-12,11,20.577974360944353,ImageNet1K-Val10000
ReLU-13,12,29.867432274420132,ImageNet1K-Val10000
ReLU-14,13,51.74317376124248,ImageNet1K-Val10000
ReLU-15,14,70.42595003868526,ImageNet1K-Val10000
ReLU-16,15,116.84939870944002,ImageNet1K-Val10000
